,seats,difS,tdate,fareI,dd_dow
0,36,2,0,1,5
1,34,0,1,1,5
2,34,0,2,1,5
3,34,0,3,1,5
4,34,0,4,1,5
5,34,0,5,1,5
6,34,1,6,1,5
7,33,0,7,1,5
8,34,1,8,1,5
9,33,0,9,1,5
10,33,0,10,1,5
11,33,0,11,1,5
12,33,0,12,1,5
13,33,0,13,1,5
14,33,0,14,1,5
15,33,0,15,1,5
16,33,0,16,1,5
17,33,0,17,1,5
18,33,0,18,1,5
19,33,0,19,1,5
20,33,4,20,1,5
21,29,0,21,1,5
22,29,1,22,1,5
23,28,0,23,1,5
24,28,0,24,1,5
25,28,0,25,1,5
26,28,0,26,1,5
27,28,2,27,1,5
28,26,0,28,1,5
29,26,0,29,1,5
30,26,0,30,1,5
31,26,4,31,1,5
32,22,3,32,1,5
33,19,2,33,1,5
34,17,0,34,1,5
35,18,4,35,1,5
36,14,0,36,1,5
37,14,1,37,1,5
38,13,0,38,1,5
39,13,2,39,1,5
40,11,0,40,1,5
41,11,0,41,2,5
42,11,0,42,2,5
43,11,2,43,2,5
44,9,0,44,2,5
45,9,2,45,2,5
46,7,0,46,2,5
47,7,0,47,2,5
48,7,0,48,2,5
49,8,0,49,4,5
50,8,0,50,4,5
51,8,0,51,4,5
52,8,0,52,4,5
53,8,0,53,4,5
54,8,0,54,4,5
55,8,0,55,4,5
56,8,0,56,4,5
57,8,3,57,4,5
58,5,0,58,5,5
59,5,0,59,6,5
61,29,1,0,1,4
62,28,1,1,1,4
63,27,0,2,1,4
64,27,0,3,1,4
65,27,0,4,1,4
66,27,0,5,1,4
67,27,1,6,1,4
68,26,1,7,1,4
69,25,1,8,1,4
70,24,0,9,1,4
71,24,0,10,1,4
72,24,0,11,1,4
73,24,0,12,1,4
74,24,0,13,1,4
75,24,0,14,1,4
76,24,0,15,1,4
77,24,0,16,1,4
78,24,0,17,1,4
79,24,0,18,1,4
80,24,0,19,1,4
81,24,0,20,1,4
82,24,0,21,1,4
83,24,2,22,1,4
84,22,2,23,1,4
85,20,0,24,1,4
86,20,0,25,1,4
87,20,5,26,1,4
88,15,1,27,1,4
89,14,2,28,1,4
90,12,1,29,1,4
91,11,1,30,2,4
92,10,0,31,2,4
93,10,0,32,2,4
94,13,2,33,2,4
95,11,1,34,2,4
96,10,1,35,2,4
97,9,0,36,2,4
98,9,2,37,2,4
99,7,0,38,2,4
100,7,0,39,2,4
101,7,0,40,2,4
102,7,4,41,2,4
103,3,0,42,4,4
104,4,1,43,3,4
105,3,0,44,4,4
106,6,0,45,5,4
107,6,1,46,5,4
108,5,1,47,4,4
109,4,0,48,4,4
110,4,0,49,4,4
111,4,0,50,5,4
112,4,0,51,6,4
113,4,0,52,6,4
114,4,0,53,6,4
115,4,0,54,6,4
116,4,0,55,6,4
117,4,1,56,6,4
118,3,0,57,5,4
119,3,0,58,5,4
120,4,0,59,5,4
122,44,0,0,1,3
123,44,0,1,1,3
124,44,2,2,1,3
125,42,0,3,1,3
126,42,0,4,1,3
127,42,0,5,1,3
128,42,4,6,1,3
129,38,0,7,1,3
130,39,0,8,1,3
131,39,0,9,1,3
132,39,0,10,1,3
133,39,0,11,1,3
134,39,2,12,1,3
135,37,0,13,1,3
136,37,0,14,1,3
137,37,0,15,1,3
138,37,0,16,1,3
139,37,0,17,1,3
140,37,0,18,1,3
141,37,0,19,1,3
142,37,0,20,1,3
143,37,0,21,1,3
145,31,0,23,1,3
146,31,0,24,1,3
147,31,0,25,1,3
148,31,1,26,1,3
149,30,0,27,1,3
150,30,1,28,1,3
151,29,1,29,1,3
152,28,3,30,1,3
153,25,0,31,1,3
155,19,0,33,1,3
156,19,0,34,1,3
157,19,1,35,1,3
158,18,0,36,1,3
159,18,2,37,1,3
160,16,1,38,1,3
162,9,0,40,2,3
163,9,1,41,2,3
164,8,0,42,2,3
165,8,1,43,2,3
166,7,2,44,2,3
167,5,1,45,2,3
168,4,0,46,2,3
169,4,1,47,2,3
170,3,0,48,4,3
171,3,0,49,4,3
172,3,0,50,4,3
173,3,2,51,4,3
174,1,0,52,4,3
175,1,0,53,4,3
176,1,0,54,4,3
177,1,0,55,4,3
178,1,0,56,4,3
179,1,0,57,4,3
180,6,0,58,5,3
181,6,1,59,5,3
183,25,0,0,4,2
184,25,0,1,4,2
185,25,0,2,4,2
186,25,0,3,4,2
187,25,0,4,4,2
188,25,0,5,4,2
189,25,0,6,4,2
190,25,0,7,4,2
191,25,2,8,4,2
192,23,0,9,4,2
193,23,0,10,4,2
194,23,0,11,4,2
195,23,1,12,4,2
196,22,0,13,4,2
197,22,0,14,4,2
198,22,0,15,4,2
199,22,0,16,4,2
200,22,0,17,4,2
201,22,0,18,4,2
202,22,0,19,4,2
203,22,0,20,4,2
204,22,0,21,4,2
205,22,0,22,4,2
206,22,2,23,4,2
207,20,0,24,4,2
208,20,0,25,4,2
209,20,0,26,4,2
210,20,0,27,4,2
211,20,0,28,4,2
212,20,0,29,4,2
213,20,0,30,4,2
214,20,1,31,4,2
215,19,1,32,4,2
216,18,0,33,3,2
217,18,0,34,3,2
218,18,0,35,3,2
219,18,0,36,3,2
220,18,1,37,3,2
221,17,1,38,3,2
222,16,0,39,3,2
223,16,0,40,2,2
224,16,0,41,2,2
225,16,1,42,2,2
226,15,1,43,2,2
227,14,0,44,2,2
228,14,1,45,2,2
229,13,3,46,2,2
230,10,0,47,2,2
231,10,1,48,2,2
232,9,0,49,4,2
233,9,0,50,4,2
234,9,3,51,4,2
235,6,0,52,4,2
236,6,0,53,4,2
237,6,0,54,4,2
238,6,0,55,4,2
239,6,0,56,4,2
240,6,0,57,4,2
241,6,4,58,4,2
242,2,0,59,5,2
244,31,0,0,3,1
245,31,0,1,3,1
246,31,0,2,3,1
247,31,0,3,3,1
248,31,0,4,3,1
249,31,0,5,3,1
250,31,0,6,3,1
251,31,0,7,3,1
252,31,0,8,3,1
253,31,2,9,3,1
254,29,0,10,3,1
255,29,0,11,3,1
256,29,0,12,3,1
257,29,0,13,3,1
258,29,0,14,3,1
259,29,0,15,3,1
260,29,0,16,3,1
261,29,1,17,3,1
262,28,0,18,3,1
263,28,0,19,3,1
264,28,0,20,3,1
265,28,0,21,3,1
266,28,0,22,3,1
267,28,0,23,3,1
268,28,4,24,3,1
269,24,1,25,3,1
270,23,1,26,3,1
271,22,0,27,3,1
272,22,0,28,3,1
273,22,0,29,3,1
274,22,0,30,3,1
275,22,0,31,3,1
276,22,2,32,2,1
277,20,4,33,2,1
278,16,0,34,2,1
279,16,2,35,2,1
280,14,1,36,2,1
281,13,0,37,2,1
282,13,0,38,2,1
283,13,3,39,2,1
284,10,0,40,2,1
285,12,2,41,2,1
286,10,0,42,2,1
287,10,4,43,2,1
288,6,1,44,2,1
289,5,0,45,2,1
290,5,3,46,2,1
291,2,0,47,4,1
292,2,0,48,4,1
293,2,0,49,4,1
294,3,0,50,4,1
295,3,0,51,4,1
296,3,2,52,4,1
297,1,0,53,5,1
298,6,0,54,4,1
299,6,0,55,4,1
300,6,0,56,4,1
301,6,0,57,4,1
302,6,0,58,4,1
303,6,3,59,4,1
305,17,2,0,6,0
306,15,0,1,6,0
307,15,0,2,6,0
308,15,0,3,6,0
309,16,0,4,5,0
310,16,0,5,6,0
311,16,0,6,6,0
312,16,0,7,6,0
313,16,0,8,6,0
314,16,0,9,6,0
315,16,0,10,6,0
316,16,0,11,6,0
317,16,0,12,6,0
318,16,0,13,6,0
319,16,1,14,6,0
320,15,0,15,6,0
321,15,0,16,6,0
322,15,2,17,6,0
323,13,0,18,6,0
324,14,0,19,6,0
325,14,0,20,6,0
326,14,0,21,6,0
327,14,0,22,6,0
328,14,0,23,6,0
329,14,0,24,6,0
330,14,2,25,6,0
331,12,4,26,6,0
332,8,0,27,6,0
333,8,5,28,6,0
334,3,0,29,6,0
335,3,0,30,6,0
336,3,2,31,6,0
337,1,0,32,6,0
338,5,0,33,6,0
339,5,0,34,6,0
340,5,0,35,6,0
341,5,0,36,6,0
342,5,0,37,6,0
343,5,0,38,6,0
344,5,1,39,6,0
345,4,1,40,6,0
346,3,0,41,6,0
347,3,1,42,6,0
348,2,0,43,6,0
349,2,0,44,6,0
350,2,0,45,6,0
351,2,0,46,6,0
352,2,0,47,6,0
353,2,0,48,6,0
354,2,0,49,6,0
355,2,0,50,6,0
356,2,0,51,6,0
357,2,0,52,6,0
358,2,0,53,6,0
359,2,1,54,6,0
360,1,0,55,6,0
361,1,0,56,6,0
362,1,0,57,6,0
363,1,0,58,6,0
364,1,0,59,6,0
366,25,0,0,3,5
367,25,0,1,3,5
368,25,2,2,3,5
369,23,0,3,3,5
370,23,0,4,3,5
371,23,0,5,3,5
372,23,2,6,3,5
373,21,0,7,3,5
374,21,1,8,3,5
375,20,0,9,3,5
376,21,0,10,3,5
377,21,1,11,3,5
378,20,0,12,3,5
379,20,0,13,3,5
380,20,2,14,3,5
381,18,0,15,3,5
382,18,2,16,3,5
383,16,1,17,3,5
384,15,0,18,3,5
385,15,0,19,3,5
386,15,0,20,3,5
387,15,0,21,3,5
388,15,0,22,3,5
389,15,0,23,3,5
390,15,0,24,3,5
391,15,0,25,3,5
392,15,0,26,3,5
393,15,2,27,3,5
394,13,3,28,3,5
395,10,0,29,4,5
396,10,0,30,3,5
397,10,2,31,3,5
398,8,0,32,4,5
399,8,0,33,3,5
400,8,1,34,3,5
401,7,0,35,4,5
402,7,0,36,3,5
403,7,0,37,3,5
404,7,0,38,3,5
405,7,0,39,3,5
406,7,0,40,3,5
407,7,0,41,3,5
408,7,0,42,4,5
409,8,0,43,2,5
410,8,1,44,3,5
411,7,0,45,3,5
412,7,0,46,3,5
413,8,0,47,3,5
414,8,0,48,4,5
415,8,2,49,4,5
416,6,1,50,4,5
417,5,0,51,4,5
418,5,4,52,4,5
419,1,0,53,4,5
420,1,0,54,4,5
421,1,0,55,4,5
422,1,0,56,5,5
423,6,0,57,5,5
424,6,0,58,5,5
425,6,0,59,5,5
427,31,0,0,2,4
428,31,1,1,2,4
429,30,0,2,2,4
430,30,3,3,2,4
431,27,4,4,2,4
432,23,0,5,2,4
433,23,0,6,3,4
434,23,0,7,3,4
435,23,0,8,3,4
436,23,0,9,3,4
437,23,0,10,3,4
438,23,0,11,3,4
439,23,0,12,3,4
440,23,0,13,5,4
441,23,3,14,5,4
442,20,0,15,5,4
443,20,0,16,5,4
444,20,0,17,4,4
445,20,5,18,4,4
446,15,0,19,4,4
447,15,1,20,4,4
448,14,0,21,4,4
449,14,0,22,6,4
450,14,0,23,6,4
451,14,0,24,6,4
452,14,0,25,6,4
453,14,0,26,6,4
454,14,0,27,6,4
455,14,0,28,6,4
456,14,0,29,6,4
457,14,0,30,6,4
458,14,1,31,6,4
459,13,0,32,6,4
460,13,0,33,6,4
461,13,0,34,6,4
462,13,0,35,6,4
463,13,0,36,6,4
464,14,0,37,6,4
465,14,3,38,6,4
466,11,0,39,6,4
467,11,1,40,6,4
468,10,2,41,6,4
469,8,0,42,6,4
470,8,2,43,6,4
471,6,4,44,6,4
472,2,0,45,6,4
473,2,0,46,6,4
474,2,0,47,6,4
475,3,0,48,6,4
476,3,0,49,6,4
477,3,0,50,6,4
478,3,0,51,6,4
479,3,0,52,6,4
480,3,0,53,6,4
481,3,2,54,6,4
482,1,0,55,6,4
483,1,0,56,6,4
484,1,0,57,6,4
485,2,0,58,5,4
486,2,0,59,5,4
488,21,0,0,3,3
489,21,0,1,3,3
490,21,0,2,3,3
491,21,0,3,5,3
492,21,4,4,5,3
493,17,0,5,5,3
494,17,0,6,5,3
495,17,0,7,4,3
496,17,0,8,4,3
497,17,0,9,4,3
498,17,0,10,4,3
499,17,0,11,4,3
500,17,0,12,4,3
501,17,0,13,4,3
502,17,3,14,4,3
503,14,1,15,4,3
504,13,0,16,4,3
505,13,0,17,4,3
506,13,0,18,4,3
507,13,0,19,4,3
508,13,0,20,4,3
509,13,0,21,4,3
510,13,2,22,4,3
511,11,0,23,4,3
512,11,0,24,4,3
513,11,0,25,4,3
514,11,0,26,4,3
515,11,0,27,4,3
516,11,0,28,4,3
517,11,1,29,4,3
518,10,1,30,4,3
519,9,0,31,4,3
520,9,0,32,4,3
521,9,0,33,4,3
522,9,0,34,4,3
523,9,0,35,4,3
524,9,0,36,4,3
525,9,0,37,4,3
526,9,0,38,4,3
527,9,0,39,4,3
528,9,3,40,4,3
529,6,0,41,4,3
530,6,0,42,4,3
531,6,0,43,4,3
532,7,0,44,4,3
533,7,0,45,4,3
534,7,0,46,4,3
535,7,2,47,4,3
536,5,0,48,4,3
537,5,0,49,4,3
538,5,1,50,4,3
539,4,0,51,4,3
540,4,2,52,4,3
541,2,0,53,5,3
542,2,0,54,5,3
543,2,1,55,5,3
544,1,0,56,5,3
545,1,0,57,6,3
546,1,0,58,6,3
547,1,0,59,6,3
549,45,2,0,1,2
550,43,0,1,1,2
551,43,1,2,1,2
552,42,2,3,1,2
553,40,2,4,1,2
554,38,3,5,1,2
555,35,0,6,1,2
556,35,0,7,1,2
557,35,0,8,1,2
558,35,0,9,1,2
559,35,0,10,1,2
560,35,1,11,1,2
561,34,0,12,1,2
562,34,2,13,1,2
563,32,0,14,1,2
564,32,0,15,1,2
565,32,0,16,1,2
566,32,0,17,1,2
567,32,1,18,1,2
568,31,2,19,1,2
569,29,1,20,1,2
570,28,1,21,1,2
571,27,0,22,1,2
572,27,0,23,1,2
573,27,0,24,1,2
574,27,0,25,1,2
575,27,0,26,1,2
576,27,0,27,1,2
577,27,0,28,1,2
578,27,0,29,1,2
580,15,0,31,1,2
581,15,3,32,1,2
582,12,1,33,2,2
583,11,1,34,2,2
584,10,2,35,3,2
585,8,0,36,4,2
586,9,1,37,4,2
587,8,4,38,4,2
588,4,1,39,5,2
589,3,0,40,6,2
590,3,0,41,6,2
591,3,0,42,6,2
592,4,0,43,6,2
593,4,0,44,6,2
594,4,0,45,6,2
595,6,1,46,5,2
596,5,1,47,6,2
597,4,0,48,5,2
598,4,0,49,5,2
599,4,0,50,5,2
600,5,0,51,4,2
601,6,0,52,4,2
602,6,0,53,4,2
603,6,1,54,5,2
604,5,2,55,5,2
605,3,2,56,5,2
606,1,0,57,5,2
607,1,0,58,5,2
608,1,0,59,5,2
610,48,0,0,1,1
611,48,0,1,1,1
612,48,1,2,1,1
613,47,0,3,1,1
614,47,0,4,1,1
615,47,0,5,1,1
616,47,4,6,1,1
617,43,0,7,1,1
618,43,0,8,1,1
619,43,0,9,1,1
620,43,2,10,1,1
621,41,0,11,1,1
622,41,0,12,1,1
623,41,0,13,1,1
624,41,0,14,1,1
626,35,0,16,1,1
627,35,1,17,1,1
629,27,3,19,1,1
630,24,2,20,1,1
631,22,0,21,1,1
632,22,0,22,1,1
633,22,0,23,1,1
634,22,3,24,1,1
635,19,0,25,2,1
636,19,0,26,2,1
637,19,0,27,2,1
638,19,0,28,2,1
639,19,0,29,2,1
640,19,0,30,2,1
642,9,0,32,3,1
643,9,0,33,3,1
644,9,1,34,3,1
645,8,0,35,4,1
646,8,0,36,3,1
647,8,1,37,3,1
648,7,1,38,4,1
649,6,3,39,4,1
650,3,2,40,4,1
651,1,0,41,4,1
652,1,0,42,4,1
653,1,0,43,5,1
654,1,0,44,5,1
655,1,0,45,5,1
656,6,0,46,5,1
657,6,0,47,5,1
658,6,0,48,5,1
659,6,2,49,5,1
660,4,0,50,5,1
661,4,0,51,5,1
662,4,2,52,5,1
663,2,1,53,6,1
664,1,0,54,6,1
665,1,0,55,6,1
666,1,0,56,6,1
667,1,0,57,6,1
668,1,0,58,6,1
669,1,0,59,6,1
671,23,0,1,3,0
672,23,0,2,3,0
673,23,0,3,3,0
674,23,3,4,3,0
675,20,0,5,3,0
676,20,1,6,3,0
677,19,1,7,4,0
678,18,1,8,4,0
679,17,0,9,3,0
680,17,0,10,3,0
681,17,0,11,3,0
682,17,5,12,3,0
683,12,2,13,4,0
684,10,1,14,4,0
685,9,0,15,4,0
686,9,1,16,6,0
687,8,0,17,6,0
688,8,0,18,6,0
689,8,0,19,6,0
690,8,0,20,6,0
691,8,1,21,6,0
692,7,0,22,6,0
693,7,1,23,6,0
694,6,0,24,6,0
695,6,0,25,6,0
696,6,0,26,6,0
697,6,0,27,6,0
698,6,0,28,6,0
699,6,0,29,6,0
700,6,0,30,6,0
701,6,0,31,6,0
702,6,0,32,6,0
703,6,0,33,6,0
704,6,0,34,6,0
705,6,3,35,5,0
706,3,0,36,5,0
707,3,0,37,5,0
708,3,0,38,5,0
709,3,0,39,5,0
710,3,2,40,5,0
711,1,0,41,5,0
712,1,0,42,5,0
713,1,0,43,5,0
714,1,0,44,5,0
715,1,0,45,5,0
716,6,1,46,5,0
717,5,2,47,5,0
718,3,0,48,5,0
719,3,1,49,6,0
720,2,0,50,6,0
721,2,0,51,6,0
722,2,0,52,6,0
723,2,1,53,6,0
724,1,0,54,6,0
725,1,0,55,6,0
726,1,0,56,6,0
727,1,0,57,6,0
728,1,0,58,6,0
729,1,0,59,6,0
731,26,0,0,6,6
732,26,0,1,6,6
733,26,0,2,6,6
734,26,0,3,6,6
735,26,0,4,6,6
736,26,0,5,6,6
737,26,1,6,6,6
738,25,0,7,6,6
739,25,0,8,6,6
740,25,2,9,6,6
741,23,0,10,6,6
742,23,0,11,6,6
743,23,0,12,6,6
744,23,0,13,6,6
745,23,0,14,6,6
746,23,0,15,6,6
747,23,0,16,6,6
748,23,0,17,6,6
749,23,0,18,6,6
750,23,0,19,6,6
751,23,0,20,6,6
752,23,0,21,6,6
753,23,0,22,6,6
754,23,0,23,6,6
755,23,0,24,6,6
756,23,3,25,6,6
757,20,0,26,6,6
758,20,0,27,6,6
759,20,0,28,6,6
760,20,0,29,6,6
761,20,0,30,6,6
762,20,0,31,6,6
763,20,0,32,6,6
765,10,1,34,4,6
766,9,5,35,4,6
767,4,0,36,5,6
768,4,1,37,5,6
769,3,0,38,4,6
770,3,0,39,5,6
771,3,0,40,5,6
772,6,1,41,5,6
773,5,2,42,5,6
774,3,0,43,5,6
775,6,1,44,5,6
776,5,1,45,6,6
777,4,1,46,6,6
778,3,0,47,6,6
779,3,0,48,6,6
780,3,0,49,6,6
781,3,2,50,6,6
782,1,0,51,6,6
783,1,0,52,6,6
784,1,0,53,6,6
785,1,0,54,6,6
786,5,0,55,5,6
787,5,2,56,5,6
788,3,0,57,5,6
789,4,2,58,5,6
790,2,1,59,5,6
792,27,0,0,4,5
793,27,0,1,4,5
794,27,0,2,4,5
795,27,0,3,4,5
796,27,0,4,4,5
797,29,0,5,3,5
798,29,0,6,4,5
799,29,0,7,4,5
800,29,0,8,4,5
801,29,0,9,4,5
803,21,0,11,3,5
804,21,0,12,3,5
805,21,0,13,3,5
806,21,0,14,3,5
807,21,0,15,3,5
808,21,1,16,3,5
809,20,0,17,3,5
810,20,0,18,3,5
811,20,2,19,3,5
812,18,4,20,3,5
814,6,3,22,2,5
815,3,1,23,2,5
816,2,1,24,2,5
817,1,0,25,2,5
818,1,0,26,2,5
819,1,0,27,2,5
820,1,0,28,4,5
821,1,0,29,4,5
822,1,0,30,4,5
823,1,0,31,4,5
824,1,0,32,4,5
825,1,0,33,4,5
826,1,0,34,4,5
827,5,0,35,5,5
828,5,0,36,5,5
829,5,0,37,5,5
830,5,0,38,5,5
831,5,0,39,5,5
832,5,2,40,5,5
833,3,0,41,5,5
834,3,2,42,5,5
835,1,0,43,6,5
836,1,0,44,6,5
837,1,0,45,6,5
838,1,0,46,6,5
839,1,0,47,6,5
840,1,0,48,6,5
841,1,0,49,6,5
842,1,0,50,6,5
843,1,0,51,6,5
844,2,0,52,5,5
845,2,0,53,5,5
846,2,0,54,5,5
847,2,0,55,5,5
848,2,0,56,5,5
849,2,0,57,5,5
850,2,1,58,5,5
851,1,0,59,6,5
853,21,0,0,6,4
854,21,0,1,6,4
855,21,0,2,6,4
856,21,0,3,6,4
857,21,0,4,6,4
858,21,0,5,6,4
859,21,0,6,6,4
860,21,0,7,6,4
861,21,0,8,6,4
862,21,2,9,6,4
863,19,0,10,6,4
864,19,1,11,6,4
865,18,0,12,6,4
866,18,0,13,6,4
867,18,0,14,6,4
868,18,0,15,6,4
869,18,0,16,6,4
870,18,0,17,6,4
871,18,0,18,6,4
872,18,0,19,6,4
873,18,0,20,6,4
874,18,0,21,6,4
875,18,0,22,6,4
876,18,0,23,6,4
877,18,1,24,6,4
878,17,0,25,6,4
879,17,0,26,6,4
880,17,0,27,6,4
881,17,0,28,6,4
882,17,0,29,6,4
883,17,0,30,6,4
884,17,0,31,6,4
885,17,0,32,6,4
886,17,0,33,6,4
887,17,0,34,6,4
888,17,1,35,6,4
889,16,0,36,6,4
890,16,2,37,6,4
891,14,0,38,5,4
892,14,0,39,5,4
893,14,0,40,5,4
894,14,1,41,5,4
895,13,0,42,5,4
896,13,1,43,5,4
897,12,0,44,5,4
898,12,2,45,4,4
899,10,0,46,4,4
900,10,1,47,4,4
901,9,0,48,4,4
902,10,3,49,4,4
903,7,0,50,4,4
904,9,0,51,4,4
905,9,2,52,4,4
906,7,2,53,4,4
907,5,1,54,4,4
908,4,0,55,5,4
909,4,3,56,5,4
910,1,0,57,5,4
911,1,0,58,5,4
912,1,0,59,5,4
914,23,0,0,3,3
915,23,0,1,3,3
916,23,0,2,3,3
917,23,0,3,3,3
918,23,1,4,3,3
919,22,0,5,3,3
920,22,0,6,3,3
921,22,2,7,3,3
922,20,2,8,3,3
923,18,2,9,3,3
924,16,0,10,3,3
925,16,0,11,3,3
926,16,0,12,4,3
927,16,0,13,4,3
928,16,0,14,4,3
929,16,0,15,4,3
930,16,0,16,4,3
931,16,0,17,4,3
932,16,0,18,4,3
933,16,0,19,4,3
934,16,0,20,4,3
935,16,0,21,4,3
936,16,0,22,4,3
937,16,2,23,4,3
938,14,2,24,4,3
939,12,2,25,4,3
940,10,0,26,4,3
941,10,0,27,4,3
942,10,0,28,4,3
943,10,1,29,4,3
944,9,0,30,4,3
945,9,0,31,4,3
946,9,0,32,4,3
947,9,0,33,4,3
948,9,0,34,4,3
949,9,0,35,4,3
951,3,0,37,4,3
952,3,0,38,4,3
953,3,0,39,4,3
954,3,0,40,4,3
955,3,0,41,4,3
956,3,0,42,4,3
957,4,0,43,4,3
958,4,2,44,4,3
959,2,0,45,4,3
960,2,1,46,4,3
961,1,0,47,5,3
962,1,0,48,4,3
963,5,0,49,5,3
964,5,0,50,5,3
965,5,0,51,4,3
966,5,1,52,6,3
967,4,2,53,5,3
968,2,0,54,6,3
969,4,1,55,5,3
970,3,2,56,6,3
971,1,0,57,6,3
972,1,0,58,6,3
973,1,0,59,6,3
975,29,0,0,2,2
976,29,2,1,2,2
977,27,3,2,2,2
978,24,2,3,2,2
979,22,0,4,2,2
980,22,1,5,2,2
981,21,0,6,2,2
982,21,0,7,2,2
983,21,1,8,2,2
984,20,0,9,2,2
985,20,0,10,2,2
986,20,0,11,2,2
987,20,4,12,2,2
988,16,0,13,3,2
989,16,0,14,3,2
990,16,0,15,3,2
991,16,0,16,3,2
992,16,5,17,3,2
993,11,0,18,3,2
994,11,0,19,3,2
995,11,1,20,3,2
996,10,2,21,3,2
997,8,1,22,3,2
998,7,0,23,4,2
999,7,0,24,5,2
1000,7,1,25,5,2
1001,6,1,26,5,2
1002,5,0,27,5,2
1003,5,0,28,5,2
1004,5,2,29,5,2
1005,3,0,30,5,2
1006,3,0,31,5,2
1007,3,0,32,5,2
1008,3,0,33,5,2
1009,3,0,34,5,2
1010,3,0,35,5,2
1011,3,0,36,5,2
1012,3,0,37,5,2
1013,3,0,38,5,2
1014,3,1,39,5,2
1015,2,0,40,5,2
1016,2,0,41,4,2
1017,2,0,42,4,2
1018,2,0,43,5,2
1019,2,0,44,5,2
1020,2,1,45,5,2
1021,1,0,46,5,2
1022,2,0,47,5,2
1023,2,0,48,5,2
1024,2,0,49,5,2
1025,5,0,50,5,2
1026,5,2,51,5,2
1027,3,2,52,5,2
1028,1,0,53,5,2
1029,1,0,54,5,2
1030,1,0,55,5,2
1031,4,2,56,5,2
1032,2,0,57,5,2
1033,3,0,58,5,2
1034,4,0,59,5,2
1036,24,0,0,2,1
1037,24,0,1,2,1
1038,24,0,2,2,1
1039,24,0,3,2,1
1040,24,2,4,2,1
1041,22,0,5,2,1
1042,22,0,6,2,1
1043,22,1,7,2,1
1044,21,0,8,2,1
1045,21,0,9,2,1
1046,21,0,10,3,1
1047,21,0,11,3,1
1048,21,0,12,3,1
1049,21,5,13,3,1
1050,16,0,14,3,1
1051,16,0,15,3,1
1052,16,0,16,3,1
1053,16,2,17,3,1
1054,14,0,18,3,1
1055,14,0,19,3,1
1056,14,3,20,3,1
1057,11,0,21,3,1
1058,11,0,22,3,1
1059,11,0,23,4,1
1060,11,0,24,4,1
1061,11,5,25,4,1
1062,6,0,26,5,1
1063,6,0,27,4,1
1064,6,0,28,4,1
1065,6,1,29,4,1
1066,5,0,30,5,1
1067,6,0,31,4,1
1068,6,0,32,4,1
1069,6,0,33,4,1
1070,6,0,34,4,1
1071,6,0,35,4,1
1072,6,0,36,4,1
1073,6,0,37,4,1
1074,6,5,38,4,1
1075,1,0,39,5,1
1076,1,0,40,5,1
1077,1,0,41,5,1
1078,1,0,42,5,1
1079,1,0,43,5,1
1080,2,0,44,5,1
1081,2,1,45,5,1
1082,1,0,46,5,1
1083,1,0,47,5,1
1084,6,0,48,5,1
1085,6,1,49,5,1
1086,5,4,50,5,1
1087,1,0,51,5,1
1088,1,0,52,5,1
1089,1,0,53,5,1
1090,1,0,54,5,1
1091,1,0,55,5,1
1092,1,0,56,5,1
1093,1,0,57,5,1
1094,1,0,58,5,1
1095,2,0,59,6,1
1097,23,0,0,3,0
1098,23,1,1,3,0
1099,22,0,2,3,0
1100,22,0,3,3,0
1101,22,0,4,3,0
1102,22,0,5,3,0
1103,22,0,6,3,0
1104,22,1,7,3,0
1105,21,0,8,3,0
1106,21,0,9,3,0
1107,21,0,10,3,0
1108,21,0,11,3,0
1109,21,0,12,3,0
1110,21,0,13,3,0
1111,22,3,14,3,0
1112,19,3,15,3,0
1113,16,0,16,4,0
1114,16,0,17,4,0
1115,16,0,18,4,0
1116,16,0,19,4,0
1117,16,0,20,4,0
1118,16,0,21,4,0
1119,16,0,22,4,0
1120,16,0,23,4,0
1121,16,0,24,4,0
1122,16,0,25,4,0
1123,16,2,26,4,0
1124,14,2,27,4,0
1125,12,0,28,5,0
1126,12,0,29,5,0
1127,12,2,30,5,0
1128,10,0,31,5,0
1129,11,0,32,5,0
1130,11,0,33,5,0
1131,11,0,34,5,0
1132,11,0,35,5,0
1133,11,0,36,5,0
1134,11,0,37,5,0
1135,11,0,38,5,0
1137,1,0,40,6,0
1138,5,4,41,5,0
1139,1,0,42,6,0
1140,1,0,43,6,0
1141,5,0,44,6,0
1142,5,1,45,6,0
1143,4,0,46,6,0
1144,4,0,47,6,0
1145,4,3,48,6,0
1146,1,0,49,6,0
1147,1,0,50,6,0
1148,1,0,51,6,0
1149,1,0,52,6,0
1150,1,0,53,6,0
1151,2,1,54,6,0
1152,1,0,55,6,0
1153,1,0,56,6,0
1154,2,0,57,5,0
1155,2,0,58,6,0
1156,2,1,59,6,0
1158,37,0,0,4,6
1159,37,0,1,4,6
1160,37,0,2,4,6
1161,37,0,3,3,6
1162,37,1,4,3,6
1163,36,0,5,4,6
1164,36,4,6,3,6
1165,32,0,7,4,6
1166,32,1,8,4,6
1167,31,0,9,4,6
1168,31,0,10,4,6
1169,31,0,11,3,6
1170,31,0,12,3,6
1171,31,1,13,3,6
1172,30,0,14,4,6
1173,30,1,15,4,6
1174,29,2,16,4,6
1175,27,0,17,4,6
1176,27,2,18,4,6
1177,25,4,19,4,6
1178,21,5,20,4,6
1179,16,2,21,4,6
1180,14,0,22,4,6
