,seats,difS,tdate,fareI,dd_dow
0,39,1,0,0,5
1,38,0,1,0,5
2,38,0,2,0,5
3,38,1,3,0,5
4,37,0,4,0,5
5,37,0,5,0,5
6,37,0,6,0,5
7,37,2,7,0,5
8,35,4,8,0,5
9,31,2,9,0,5
10,29,0,10,0,5
11,29,0,11,0,5
12,29,0,12,0,5
13,29,2,13,0,5
14,27,0,14,0,5
15,27,0,15,0,5
16,27,0,16,0,5
17,27,0,17,0,5
18,27,0,18,0,5
19,27,0,19,0,5
20,27,1,20,0,5
21,26,3,21,0,5
22,23,2,22,0,5
23,21,0,23,0,5
24,21,0,24,0,5
25,21,0,25,0,5
26,21,0,26,0,5
27,21,0,27,0,5
28,21,0,28,0,5
29,21,1,29,0,5
30,20,0,30,0,5
31,20,0,31,0,5
32,20,0,32,0,5
33,20,2,33,0,5
34,18,1,34,1,5
35,17,0,35,1,5
36,17,2,36,0,5
37,15,3,37,1,5
38,12,0,38,1,5
39,12,0,39,1,5
40,12,0,40,1,5
41,12,1,41,3,5
42,11,2,42,3,5
43,9,0,43,3,5
44,9,0,44,3,5
45,9,1,45,3,5
46,8,0,46,3,5
47,8,0,47,3,5
48,8,1,48,3,5
49,7,1,49,4,5
50,6,0,50,4,5
51,6,0,51,4,5
52,6,0,52,4,5
53,6,0,53,4,5
54,6,0,54,4,5
55,6,0,55,4,5
56,6,0,56,5,5
57,6,2,57,5,5
58,4,0,58,5,5
59,6,0,59,5,5
61,47,6,0,1,4
62,41,7,1,1,4
63,34,0,2,1,4
64,34,0,3,1,4
65,34,0,4,1,4
66,34,0,5,1,4
67,34,2,6,1,4
68,32,2,7,1,4
69,30,0,8,1,4
70,30,0,9,1,4
71,30,1,10,1,4
72,29,0,11,1,4
73,29,0,12,1,4
74,29,1,13,1,4
75,28,4,14,1,4
76,24,0,15,1,4
77,24,0,16,1,4
78,24,0,17,1,4
79,24,0,18,1,4
80,24,0,19,1,4
81,24,0,20,1,4
82,24,6,21,1,4
83,18,0,22,1,4
84,18,0,23,1,4
85,18,1,24,1,4
86,17,0,25,1,4
87,17,2,26,1,4
88,15,0,27,1,4
89,15,0,28,1,4
90,15,0,29,1,4
91,15,0,30,1,4
92,15,0,31,1,4
93,15,0,32,1,4
94,15,0,33,1,4
95,15,1,34,1,4
96,14,2,35,1,4
97,12,0,36,1,4
98,12,0,37,1,4
99,12,3,38,1,4
100,9,0,39,1,4
101,9,0,40,1,4
102,9,1,41,3,4
103,8,0,42,3,4
104,8,1,43,3,4
105,7,1,44,3,4
106,6,0,45,3,4
107,6,0,46,3,4
108,6,0,47,3,4
109,6,0,48,4,4
110,6,2,49,4,4
111,4,1,50,4,4
112,3,0,51,4,4
113,3,0,52,4,4
114,3,0,53,4,4
115,3,0,54,4,4
116,3,0,55,4,4
117,3,0,56,4,4
118,5,0,57,5,4
119,5,1,58,5,4
120,4,0,59,5,4
122,46,0,0,1,3
123,46,0,1,1,3
124,46,0,2,1,3
125,46,0,3,1,3
126,46,0,4,1,3
127,46,0,5,1,3
128,46,0,6,1,3
129,46,0,7,1,3
130,46,0,8,1,3
131,46,1,9,1,3
132,45,0,10,1,3
133,45,0,11,1,3
134,45,2,12,1,3
135,43,0,13,1,3
136,43,0,14,1,3
137,43,0,15,1,3
138,43,0,16,1,3
139,43,0,17,1,3
140,43,0,18,1,3
141,43,0,19,1,3
142,43,0,20,1,3
143,43,0,21,1,3
144,43,3,22,1,3
145,40,0,23,1,3
146,40,1,24,1,3
147,39,0,25,1,3
148,39,0,26,1,3
149,39,1,27,1,3
150,38,1,28,1,3
151,37,2,29,1,3
152,35,3,30,1,3
153,32,1,31,1,3
154,31,0,32,1,3
155,31,1,33,1,3
156,30,1,34,1,3
157,29,1,35,1,3
158,28,1,36,1,3
159,27,3,37,1,3
160,24,2,38,1,3
161,22,0,39,1,3
162,23,0,40,3,3
163,23,2,41,3,3
164,21,0,42,3,3
165,21,0,43,3,3
166,21,1,44,3,3
167,20,0,45,3,3
168,20,0,46,3,3
169,20,2,47,3,3
170,18,1,48,4,3
171,17,0,49,4,3
172,17,1,50,4,3
173,16,0,51,4,3
174,16,0,52,4,3
175,16,0,53,4,3
176,16,0,54,4,3
177,16,0,55,4,3
178,16,0,56,4,3
179,16,0,57,4,3
180,17,0,58,5,3
181,18,3,59,5,3
183,42,0,0,0,2
184,42,0,1,0,2
185,42,0,2,0,2
186,42,0,3,0,2
187,42,0,4,0,2
188,42,0,5,0,2
189,42,0,6,0,2
190,42,0,7,0,2
191,42,0,8,0,2
192,42,0,9,0,2
193,42,0,10,0,2
194,42,0,11,0,2
195,42,0,12,0,2
196,42,0,13,0,2
197,42,0,14,0,2
198,42,0,15,0,2
199,42,0,16,0,2
200,42,0,17,0,2
201,42,0,18,0,2
202,42,0,19,0,2
203,42,0,20,0,2
204,42,0,21,0,2
205,42,0,22,0,2
206,42,1,23,0,2
207,41,1,24,0,2
208,40,3,25,0,2
209,37,0,26,0,2
210,37,0,27,0,2
211,37,0,28,0,2
212,37,0,29,0,2
213,37,0,30,0,2
214,37,3,31,0,2
215,34,2,32,0,2
216,32,0,33,0,2
217,32,0,34,0,2
218,32,1,35,0,2
219,31,0,36,0,2
220,31,0,37,0,2
221,34,1,38,0,2
222,33,0,39,0,2
223,34,1,40,0,2
224,33,0,41,3,2
225,33,3,42,3,2
226,30,2,43,3,2
227,28,0,44,3,2
228,28,0,45,3,2
229,28,3,46,3,2
230,25,0,47,3,2
231,25,0,48,3,2
232,25,0,49,4,2
233,25,0,50,4,2
234,25,0,51,4,2
235,25,1,52,4,2
236,24,0,53,4,2
237,24,0,54,4,2
238,24,0,55,4,2
239,24,0,56,4,2
240,24,0,57,4,2
241,24,4,58,4,2
244,39,2,0,0,1
245,37,2,1,0,1
246,35,0,2,0,1
247,35,0,3,0,1
248,35,2,4,0,1
249,33,0,5,0,1
250,35,0,6,0,1
251,35,0,7,0,1
252,35,0,8,0,1
253,35,0,9,0,1
254,35,0,10,0,1
255,35,2,11,0,1
256,33,0,12,0,1
257,33,0,13,0,1
258,33,0,14,0,1
259,33,0,15,0,1
260,33,0,16,0,1
261,33,0,17,0,1
262,33,0,18,0,1
263,33,0,19,0,1
264,33,0,20,0,1
265,33,0,21,0,1
266,33,0,22,0,1
267,33,0,23,0,1
268,33,5,24,0,1
269,28,0,25,0,1
270,28,0,26,0,1
271,28,0,27,0,1
272,28,0,28,0,1
273,28,1,29,0,1
274,27,1,30,0,1
275,26,0,31,0,1
276,26,1,32,0,1
277,25,0,33,0,1
278,25,2,34,0,1
279,23,2,35,0,1
280,21,0,36,0,1
281,21,0,37,0,1
282,21,1,38,0,1
283,20,1,39,0,1
284,19,1,40,0,1
285,18,0,41,3,1
286,18,0,42,3,1
287,18,1,43,3,1
288,17,1,44,3,1
289,16,3,45,3,1
290,13,0,46,3,1
291,13,0,47,4,1
292,13,0,48,4,1
293,13,0,49,4,1
294,13,0,50,4,1
295,13,0,51,4,1
296,13,1,52,4,1
297,12,2,53,4,1
298,10,0,54,4,1
299,10,0,55,4,1
300,10,0,56,4,1
301,10,0,57,4,1
302,12,0,58,5,1
305,43,4,0,1,0
306,39,0,1,1,0
307,39,0,2,1,0
308,39,0,3,1,0
309,39,0,4,1,0
310,39,0,5,1,0
311,39,0,6,1,0
312,39,0,7,1,0
313,39,0,8,1,0
314,39,0,9,1,0
315,39,0,10,1,0
316,39,0,11,1,0
317,39,0,12,1,0
318,39,0,13,1,0
319,39,1,14,1,0
320,38,0,15,1,0
321,38,0,16,1,0
322,38,0,17,1,0
323,38,1,18,1,0
324,37,0,19,1,0
325,37,0,20,1,0
326,37,0,21,1,0
327,37,0,22,1,0
328,37,0,23,1,0
329,37,0,24,1,0
331,28,4,26,1,0
332,24,1,27,1,0
333,23,0,28,1,0
334,23,0,29,1,0
335,23,2,30,1,0
336,21,0,31,1,0
337,21,0,32,1,0
338,21,2,33,1,0
339,19,2,34,1,0
340,17,1,35,1,0
341,16,0,36,1,0
342,16,0,37,1,0
343,16,0,38,1,0
344,16,0,39,1,0
345,16,0,40,1,0
346,16,1,41,3,0
347,15,1,42,3,0
348,14,0,43,3,0
349,14,4,44,3,0
350,10,0,45,3,0
351,10,0,46,3,0
352,10,0,47,4,0
353,10,1,48,4,0
354,9,0,49,4,0
355,9,0,50,4,0
356,9,0,51,4,0
357,9,0,52,4,0
358,9,2,53,4,0
359,7,0,54,4,0
360,8,0,55,5,0
361,8,0,56,5,0
362,8,0,57,5,0
363,8,6,58,5,0
364,2,0,59,5,0
366,44,0,0,1,6
367,44,0,1,1,6
368,44,0,2,1,6
369,44,1,3,1,6
370,43,0,4,1,6
371,43,1,5,1,6
372,42,0,6,1,6
373,42,0,7,1,6
374,42,0,8,1,6
375,42,0,9,1,6
376,42,0,10,1,6
377,42,0,11,1,6
378,42,4,12,1,6
379,38,1,13,1,6
380,37,2,14,1,6
381,35,5,15,1,6
382,30,0,16,1,6
383,30,0,17,1,6
384,30,0,18,1,6
385,30,0,19,1,6
386,30,0,20,1,6
387,30,0,21,1,6
388,30,0,22,1,6
389,30,0,23,1,6
390,30,0,24,1,6
391,30,0,25,1,6
393,21,0,27,1,6
394,21,0,28,1,6
395,21,0,29,1,6
396,21,5,30,1,6
397,16,0,31,1,6
398,16,1,32,1,6
399,15,0,33,1,6
400,15,0,34,1,6
401,15,0,35,1,6
402,15,2,36,1,6
403,13,1,37,1,6
404,12,0,38,1,6
405,12,1,39,1,6
406,11,0,40,1,6
407,11,2,41,3,6
408,9,0,42,3,6
409,9,0,43,3,6
410,9,0,44,3,6
411,9,0,45,3,6
412,9,0,46,3,6
413,9,1,47,3,6
414,8,0,48,4,6
415,8,1,49,4,6
416,7,0,50,4,6
417,7,1,51,4,6
418,6,0,52,4,6
419,6,0,53,4,6
420,6,0,54,4,6
421,6,1,55,5,6
422,5,0,56,5,6
423,5,0,57,5,6
424,5,0,58,5,6
425,5,2,59,5,6
427,34,0,0,0,5
428,34,0,1,0,5
429,34,0,2,0,5
430,34,0,3,0,5
431,34,0,4,0,5
432,34,0,5,0,5
433,34,2,6,0,5
434,32,0,7,0,5
435,32,1,8,0,5
436,31,0,9,0,5
437,31,1,10,0,5
438,30,0,11,0,5
439,30,0,12,0,5
440,30,0,13,0,5
441,30,0,14,0,5
442,30,3,15,0,5
443,27,0,16,0,5
444,29,0,17,0,5
445,29,0,18,0,5
446,29,0,19,0,5
447,29,0,20,0,5
448,29,0,21,0,5
449,29,0,22,0,5
450,29,0,23,0,5
451,29,0,24,0,5
452,29,0,25,0,5
453,29,0,26,0,5
454,29,4,27,0,5
455,25,0,28,0,5
456,25,1,29,0,5
457,24,0,30,0,5
458,24,1,31,0,5
459,23,0,32,0,5
460,23,0,33,0,5
461,23,5,34,0,5
462,18,0,35,0,5
463,18,0,36,0,5
464,18,0,37,0,5
465,18,1,38,0,5
466,17,1,39,0,5
467,16,2,40,0,5
468,14,0,41,3,5
469,14,0,42,3,5
470,14,0,43,3,5
471,14,0,44,3,5
472,14,0,45,3,5
473,14,0,46,3,5
474,14,0,47,3,5
475,14,1,48,4,5
476,13,2,49,4,5
477,11,0,50,4,5
478,11,1,51,4,5
479,10,3,52,4,5
480,7,0,53,4,5
481,8,0,54,4,5
482,8,0,55,4,5
483,8,0,56,5,5
484,8,0,57,5,5
485,8,3,58,5,5
486,5,1,59,5,5
488,47,0,0,1,4
489,47,4,1,1,4
490,43,0,2,1,4
491,43,2,3,1,4
492,41,2,4,1,4
493,39,0,5,1,4
494,39,1,6,1,4
495,38,0,7,1,4
496,38,0,8,1,4
497,38,1,9,1,4
498,37,0,10,1,4
499,37,0,11,1,4
500,37,0,12,1,4
501,37,2,13,1,4
502,35,0,14,1,4
503,35,0,15,1,4
504,35,0,16,1,4
505,35,0,17,1,4
506,35,0,18,1,4
507,35,0,19,1,4
508,35,1,20,1,4
509,34,1,21,1,4
510,33,0,22,1,4
511,33,0,23,1,4
512,33,0,24,1,4
513,33,0,25,1,4
514,33,0,26,1,4
515,33,0,27,1,4
516,33,5,28,1,4
517,28,1,29,1,4
518,27,1,30,1,4
519,26,0,31,1,4
520,26,2,32,1,4
521,24,3,33,1,4
522,21,0,34,1,4
523,21,0,35,1,4
524,21,0,36,1,4
525,21,0,37,1,4
526,21,4,38,1,4
527,17,1,39,1,4
528,16,0,40,1,4
529,16,0,41,3,4
530,16,0,42,3,4
531,16,0,43,3,4
532,16,0,44,3,4
533,16,0,45,3,4
534,16,0,46,3,4
535,16,0,47,3,4
536,16,0,48,4,4
537,16,2,49,4,4
538,14,0,50,4,4
539,14,0,51,4,4
540,14,0,52,4,4
541,14,0,53,4,4
542,14,1,54,4,4
543,13,0,55,5,4
544,13,0,56,5,4
545,15,1,57,5,4
546,14,1,58,5,4
547,13,5,59,5,4
549,37,0,0,1,3
550,37,2,1,1,3
551,35,0,2,1,3
552,35,0,3,1,3
553,35,0,4,1,3
554,35,0,5,1,3
555,35,0,6,1,3
556,35,0,7,1,3
557,35,0,8,1,3
558,35,0,9,1,3
559,35,0,10,1,3
560,35,0,11,1,3
561,35,0,12,1,3
562,35,0,13,1,3
563,35,0,14,1,3
564,35,0,15,1,3
565,35,1,16,1,3
566,34,1,17,1,3
567,33,2,18,1,3
568,31,0,19,1,3
569,31,4,20,1,3
570,27,0,21,1,3
571,27,0,22,1,3
572,27,0,23,1,3
573,27,0,24,1,3
574,27,0,25,1,3
575,27,0,26,1,3
576,27,0,27,1,3
577,27,0,28,1,3
578,27,4,29,1,3
579,23,0,30,1,3
580,23,0,31,1,3
581,23,0,32,1,3
582,23,1,33,1,3
583,22,1,34,1,3
584,21,2,35,1,3
585,19,0,36,1,3
586,19,0,37,1,3
587,19,1,38,1,3
588,18,0,39,1,3
589,18,0,40,1,3
590,18,2,41,3,3
591,16,0,42,3,3
592,16,0,43,3,3
593,17,2,44,3,3
594,15,0,45,3,3
595,15,0,46,3,3
596,15,2,47,4,3
597,13,0,48,4,3
598,13,0,49,4,3
599,13,0,50,4,3
600,13,1,51,4,3
601,12,1,52,4,3
602,11,1,53,4,3
603,10,0,54,4,3
604,11,1,55,5,3
605,10,0,56,5,3
606,10,1,57,5,3
607,9,0,58,5,3
608,9,5,59,5,3
610,33,0,0,0,2
611,33,1,1,0,2
612,32,0,2,0,2
613,32,2,3,0,2
614,30,0,4,0,2
615,30,4,5,0,2
616,26,0,6,0,2
617,26,0,7,0,2
618,26,0,8,0,2
619,26,0,9,0,2
620,26,0,10,0,2
621,26,0,11,0,2
622,26,0,12,0,2
623,26,0,13,0,2
624,26,0,14,0,2
625,26,0,15,0,2
626,26,0,16,0,2
627,26,1,17,0,2
628,25,1,18,0,2
629,24,2,19,0,2
630,22,1,20,0,2
631,21,2,21,0,2
632,19,0,22,0,2
633,19,0,23,0,2
634,19,0,24,0,2
635,19,0,25,0,2
636,19,0,26,0,2
637,19,0,27,0,2
638,19,0,28,0,2
639,19,0,29,0,2
640,19,5,30,0,2
641,14,1,31,0,2
642,13,3,32,0,2
643,10,1,33,0,2
644,9,0,34,0,2
645,9,0,35,0,2
646,9,2,36,0,2
647,7,0,37,0,2
648,7,1,38,0,2
649,6,0,39,1,2
650,8,1,40,1,2
651,7,0,41,3,2
652,7,0,42,3,2
653,7,0,43,3,2
654,7,0,44,3,2
655,7,1,45,3,2
656,6,1,46,3,2
657,5,0,47,3,2
658,5,0,48,4,2
659,5,0,49,4,2
660,5,0,50,4,2
661,5,0,51,4,2
662,5,0,52,4,2
663,5,0,53,4,2
664,5,0,54,4,2
665,5,0,55,5,2
666,5,0,56,5,2
667,5,1,57,5,2
668,4,1,58,5,2
669,3,0,59,5,2
671,41,0,0,1,1
672,41,0,1,1,1
673,41,0,2,1,1
674,41,0,3,1,1
675,41,5,4,1,1
676,36,0,5,1,1
678,23,1,7,1,1
679,22,0,8,2,1
680,22,0,9,2,1
681,22,0,10,2,1
682,22,1,11,2,1
683,21,0,12,2,1
684,21,0,13,2,1
685,21,0,14,2,1
686,21,0,15,2,1
687,21,0,16,2,1
688,21,0,17,2,1
689,21,0,18,2,1
690,21,0,19,2,1
691,21,0,20,1,1
692,21,0,21,1,1
693,21,0,22,1,1
694,21,0,23,1,1
695,21,0,24,1,1
696,21,0,25,1,1
697,21,0,26,1,1
698,21,0,27,1,1
699,21,0,28,1,1
700,21,0,29,1,1
701,21,0,30,1,1
702,21,1,31,1,1
703,20,1,32,1,1
704,19,3,33,1,1
705,16,0,34,1,1
706,17,0,35,0,1
707,17,0,36,0,1
708,17,1,37,0,1
709,16,0,38,0,1
710,16,1,39,0,1
711,15,0,40,1,1
712,15,0,41,3,1
713,15,0,42,3,1
714,15,1,43,3,1
715,14,1,44,3,1
716,13,0,45,3,1
717,13,0,46,3,1
718,13,0,47,3,1
719,13,1,48,4,1
720,12,1,49,4,1
721,11,0,50,4,1
722,11,0,51,4,1
723,11,0,52,4,1
724,11,0,53,4,1
725,11,0,54,4,1
726,11,0,55,5,1
727,11,0,56,5,1
728,12,1,57,5,1
729,11,0,58,5,1
730,11,7,59,5,1
732,38,0,1,1,0
733,38,0,2,1,0
734,38,0,3,1,0
735,38,0,4,1,0
736,39,0,5,1,0
737,39,0,6,1,0
738,39,3,7,1,0
739,36,1,8,1,0
740,35,1,9,1,0
741,34,0,10,1,0
742,34,1,11,1,0
743,33,1,12,1,0
744,32,0,13,1,0
745,32,0,14,1,0
746,32,0,15,1,0
747,32,1,16,1,0
748,31,0,17,1,0
749,31,0,18,1,0
750,31,0,19,1,0
751,31,1,20,1,0
752,30,0,21,1,0
753,30,0,22,1,0
754,30,2,23,1,0
755,28,0,24,1,0
756,28,0,25,1,0
757,28,0,26,1,0
758,28,0,27,1,0
759,28,0,28,1,0
760,28,0,29,1,0
761,28,0,30,1,0
762,28,0,31,1,0
763,28,3,32,1,0
764,25,0,33,1,0
765,25,3,34,1,0
766,22,2,35,1,0
767,20,1,36,1,0
768,19,1,37,1,0
769,18,1,38,1,0
770,17,4,39,1,0
771,13,1,40,1,0
772,12,0,41,3,0
773,12,0,42,3,0
774,12,0,43,3,0
775,12,0,44,3,0
776,12,0,45,3,0
777,12,0,46,3,0
778,12,2,47,3,0
779,10,0,48,4,0
780,10,0,49,4,0
781,10,0,50,4,0
782,10,1,51,4,0
783,9,1,52,4,0
784,8,0,53,4,0
785,8,2,54,4,0
786,6,0,55,5,0
787,6,1,56,5,0
788,5,0,57,5,0
789,6,0,58,5,0
790,6,4,59,5,0
792,36,0,0,1,6
793,36,0,1,1,6
794,38,0,2,1,6
795,38,0,3,1,6
796,38,0,4,1,6
797,38,1,5,1,6
798,37,0,6,1,6
799,37,0,7,1,6
800,37,2,8,1,6
801,35,1,9,1,6
802,34,0,10,1,6
803,34,0,11,1,6
804,34,0,12,1,6
805,34,0,13,1,6
806,34,0,14,1,6
808,25,0,16,1,6
809,25,1,17,1,6
810,24,0,18,1,6
811,24,0,19,1,6
812,24,2,20,1,6
813,22,1,21,1,6
814,21,0,22,1,6
815,21,0,23,1,6
816,21,2,24,1,6
817,19,0,25,1,6
818,19,4,26,1,6
819,15,0,27,1,6
820,15,0,28,1,6
821,15,0,29,1,6
822,15,0,30,1,6
823,15,0,31,1,6
824,15,0,32,1,6
825,15,1,33,1,6
826,14,0,34,2,6
827,14,0,35,2,6
828,14,0,36,2,6
829,14,0,37,2,6
830,14,0,38,2,6
831,14,0,39,2,6
832,14,0,40,2,6
833,14,0,41,3,6
834,14,0,42,3,6
835,14,0,43,3,6
836,17,1,44,3,6
837,16,0,45,3,6
838,17,0,46,3,6
839,17,3,47,3,6
840,14,1,48,4,6
841,13,0,49,4,6
842,13,2,50,4,6
843,11,1,51,4,6
844,10,0,52,4,6
845,11,2,53,4,6
846,9,0,54,4,6
847,9,0,55,5,6
848,11,0,56,5,6
849,11,2,57,5,6
850,9,1,58,5,6
851,8,4,59,5,6
853,35,2,0,0,5
854,33,0,1,0,5
855,33,0,2,0,5
856,33,0,3,0,5
857,33,0,4,0,5
858,33,0,5,0,5
859,33,1,6,0,5
860,32,1,7,1,5
861,31,0,8,0,5
862,31,4,9,0,5
863,27,0,10,0,5
864,29,0,11,0,5
865,29,0,12,0,5
866,29,0,13,1,5
867,29,0,14,1,5
868,29,0,15,0,5
869,29,1,16,0,5
870,28,0,17,0,5
871,29,0,18,0,5
872,29,0,19,0,5
873,29,0,20,0,5
874,29,0,21,0,5
875,29,1,22,0,5
876,28,0,23,0,5
877,28,1,24,0,5
878,27,0,25,0,5
879,27,0,26,0,5
880,27,0,27,0,5
881,28,0,28,0,5
882,28,0,29,0,5
883,28,0,30,0,5
884,28,0,31,0,5
885,28,0,32,0,5
886,28,0,33,0,5
887,28,3,34,0,5
888,25,0,35,1,5
889,25,0,36,1,5
890,25,1,37,1,5
891,24,0,38,1,5
892,25,0,39,1,5
893,25,0,40,1,5
894,25,0,41,3,5
895,25,0,42,3,5
896,25,0,43,3,5
897,25,0,44,3,5
898,25,0,45,3,5
899,26,0,46,3,5
900,26,0,47,3,5
901,26,0,48,4,5
902,26,1,49,4,5
903,25,0,50,4,5
904,25,1,51,4,5
905,24,0,52,4,5
906,25,1,53,4,5
907,24,0,54,4,5
908,24,0,55,5,5
909,24,0,56,5,5
910,25,1,57,5,5
911,24,4,58,5,5
914,44,0,0,1,4
915,44,0,1,1,4
916,44,0,2,1,4
917,44,2,3,1,4
918,42,0,4,1,4
919,42,0,5,1,4
920,42,0,6,1,4
921,42,0,7,1,4
922,43,6,8,1,4
923,37,0,9,1,4
924,37,2,10,1,4
925,35,0,11,1,4
926,35,4,12,1,4
927,31,0,13,1,4
928,31,1,14,1,4
929,30,0,15,1,4
930,30,0,16,1,4
931,30,0,17,1,4
932,30,0,18,1,4
933,30,0,19,1,4
934,30,0,20,1,4
935,32,1,21,1,4
936,31,0,22,1,4
937,31,0,23,1,4
938,31,1,24,1,4
939,30,2,25,1,4
940,28,0,26,1,4
941,28,3,27,1,4
942,25,2,28,1,4
943,23,0,29,1,4
944,23,0,30,1,4
945,23,0,31,1,4
946,23,0,32,1,4
947,23,0,33,1,4
948,23,0,34,1,4
950,14,1,36,1,4
951,13,0,37,1,4
952,13,2,38,1,4
953,11,0,39,1,4
954,11,0,40,1,4
955,11,0,41,3,4
956,11,1,42,3,4
957,10,0,43,3,4
958,10,0,44,3,4
959,10,0,45,3,4
960,11,0,46,3,4
961,11,0,47,3,4
962,11,0,48,4,4
963,11,0,49,4,4
964,11,1,50,4,4
965,10,2,51,4,4
966,8,0,52,4,4
967,9,0,53,4,4
968,9,0,54,4,4
969,9,0,55,5,4
970,9,0,56,5,4
971,9,0,57,5,4
972,10,0,58,5,4
973,10,4,59,5,4
975,44,4,0,1,3
976,40,0,1,1,3
977,40,0,2,1,3
978,40,0,3,1,3
979,40,3,4,1,3
980,37,0,5,1,3
981,37,0,6,1,3
982,37,0,7,1,3
983,37,0,8,1,3
984,37,0,9,1,3
985,37,0,10,1,3
987,26,1,12,1,3
988,25,0,13,1,3
989,25,0,14,1,3
990,25,1,15,1,3
991,24,2,16,1,3
992,22,0,17,1,3
993,22,2,18,1,3
994,20,0,19,1,3
995,20,0,20,1,3
996,21,0,21,1,3
997,22,2,22,1,3
998,20,0,23,1,3
999,20,0,24,1,3
1000,20,0,25,1,3
1001,20,1,26,1,3
1002,19,0,27,1,3
1003,19,1,28,1,3
1004,18,0,29,1,3
1005,18,0,30,1,3
1006,18,0,31,1,3
1007,18,0,32,1,3
1008,18,0,33,1,3
1009,18,0,34,1,3
1010,18,0,35,1,3
1011,18,2,36,1,3
1012,16,1,37,1,3
1013,15,2,38,1,3
1014,13,0,39,1,3
1015,13,2,40,1,3
1016,11,0,41,3,3
1017,11,0,42,3,3
1018,11,1,43,3,3
1019,10,0,44,3,3
1020,10,5,45,3,3
1021,5,0,46,3,3
1022,5,0,47,3,3
1023,5,0,48,4,3
1024,5,0,49,4,3
1025,5,3,50,4,3
1026,2,0,51,4,3
1027,5,1,52,4,3
1028,4,0,53,4,3
1029,4,0,54,5,3
1030,4,0,55,5,3
1031,4,0,56,5,3
1032,4,0,57,5,3
1033,5,2,58,5,3
1034,3,1,59,5,3
1036,39,0,0,0,2
1037,39,0,1,0,2
1038,39,0,2,0,2
1039,39,1,3,0,2
1040,38,0,4,0,2
1041,38,2,5,0,2
1042,36,0,6,0,2
1043,36,0,7,0,2
1044,36,0,8,0,2
1045,36,0,9,0,2
1046,36,0,10,1,2
1047,36,0,11,0,2
1048,36,4,12,0,2
1049,32,4,13,0,2
1050,28,0,14,0,2
1051,28,0,15,0,2
1052,28,0,16,0,2
1053,28,0,17,0,2
1054,28,1,18,0,2
1055,27,2,19,0,2
1056,25,1,20,0,2
1057,24,0,21,0,2
1058,24,0,22,0,2
1059,24,1,23,0,2
1060,23,0,24,0,2
1061,23,0,25,0,2
1062,23,0,26,0,2
1063,23,2,27,0,2
1064,21,0,28,0,2
1065,21,1,29,0,2
1066,20,0,30,0,2
1067,20,0,31,0,2
1068,20,0,32,0,2
1069,20,0,33,0,2
1070,20,0,34,0,2
1071,20,0,35,0,2
1072,20,0,36,0,2
1073,20,0,37,0,2
1074,20,0,38,1,2
1075,20,3,39,1,2
1076,17,0,40,1,2
1077,18,4,41,3,2
1078,14,1,42,3,2
1079,13,0,43,3,2
1080,13,0,44,3,2
1081,13,0,45,3,2
1082,13,0,46,3,2
1083,13,0,47,3,2
1084,13,2,48,4,2
1085,11,0,49,4,2
1086,11,0,50,4,2
1087,11,0,51,4,2
1088,11,2,52,4,2
1089,9,1,53,4,2
1090,8,2,54,4,2
1091,6,0,55,5,2
1092,6,1,56,5,2
1093,5,0,57,5,2
1094,5,1,58,5,2
1095,4,3,59,5,2
1097,46,0,0,1,1
1098,46,0,1,1,1
1099,46,0,2,1,1
1100,46,1,3,1,1
1101,45,1,4,1,1
1102,44,0,5,1,1
1103,44,2,6,1,1
1104,42,0,7,1,1
1105,42,0,8,1,1
1106,42,0,9,1,1
1107,42,0,10,1,1
1108,42,3,11,1,1
1109,39,1,12,1,1
1111,29,0,14,1,1
1112,29,2,15,1,1
1113,27,2,16,1,1
1114,25,0,17,1,1
1115,25,0,18,1,1
1116,25,1,19,1,1
1117,24,2,20,1,1
1118,22,0,21,1,1
1119,22,0,22,1,1
1120,22,0,23,1,1
1121,22,0,24,1,1
1122,22,0,25,1,1
1123,22,0,26,1,1
1124,22,1,27,1,1
1125,21,0,28,1,1
1126,21,0,29,1,1
1127,21,0,30,1,1
1128,21,0,31,1,1
1129,21,0,32,1,1
1130,21,0,33,1,1
1131,21,0,34,1,1
1132,21,0,35,1,1
1133,21,0,36,1,1
1134,21,0,37,1,1
1135,21,6,38,1,1
1136,15,2,39,1,1
1137,13,1,40,1,1
1138,12,1,41,3,1
1139,11,1,42,3,1
1140,10,1,43,3,1
1141,9,1,44,3,1
1142,8,1,45,3,1
1143,7,1,46,3,1
1144,6,1,47,3,1
1145,5,0,48,4,1
1146,6,1,49,4,1
1147,5,1,50,4,1
1148,4,0,51,4,1
1149,4,0,52,4,1
1150,4,0,53,4,1
1151,4,0,54,4,1
1152,4,0,55,5,1
1153,5,3,56,5,1
1154,2,0,57,5,1
1155,3,0,58,5,1
1156,3,0,59,5,1
1158,44,0,0,1,0
1159,44,0,1,1,0
1160,44,0,2,1,0
1161,44,0,3,1,0
1162,44,0,4,1,0
1163,44,0,5,1,0
1164,44,0,6,1,0
1165,44,3,7,1,0
1166,41,0,8,1,0
1167,41,0,9,1,0
1168,41,0,10,1,0
1169,41,1,11,1,0
1170,40,2,12,1,0
1171,38,0,13,1,0
1172,38,5,14,1,0
1173,33,2,15,1,0
1174,31,0,16,1,0
1175,31,0,17,1,0
1176,31,1,18,1,0
1177,30,0,19,1,0
1178,30,0,20,1,0
